0G	ai,storage-data,l1	0G 面向 AI 的数据可用层
BILL	NONE	Billions身份验证,无对应板块
BIO	desci	BioProtocol 去中心化科学
BIRB	nft-social,sol-eco	Moonbirds NFT生态代币
BLESS	depin	Bless 共享算力网络
BLUAI	ai	Bluwhale，AI代理数据平台
BLUR	nft-social	Blur NFT市场
BMT	storage-data	Bubblemaps 链上数据分析
BNB	l1	BNB Chain 主网币
BNT	defi-blue	Bancor老牌DEX
BOME	meme,sol-eco	Solana meme
BR	btc-eco	Bedrock 的 uniBTC 质押
BRETT	meme	Base上的meme
BREV	zk	Brevis，ZK协处理器
BROCCOLI714	meme	CZ的狗，BNB链Meme
BROCCOLIF3B	meme	CZ的狗Meme分支
BSB	NONE	Block Street 信息不足
BSV	pow,payment	Bitcoin SV,PoW支付链
BTC	btc-eco,pow	规则指定：比特币本体
BTR	btc-eco,l2	Bitlayer 比特币二层
BTW	NONE	Bitway 收益/支付产品，归属不明
BULLA	meme	Hasbulla 名人 meme
C	ai,storage-data	Chainbase，AI数据网络
C98	NONE	Coin98钱包，无对应板块
CAKE	defi-blue	PancakeSwap 老牌 DEX
CAP	stable-yield	Cap 数字美元与生息
CARV	storage-data,ai,gamefi	游戏与AI的模块化数据层
CATI	gamefi	Catizen，TON链游平台
CC	l1,rwa,privacy	Canton 机构级隐私公链
CELO	l1,payment	移动支付方向的公链
CELR	oracle-bridge	Celer cBridge跨链
CETUS	defi-blue	Cetus，Sui主力AMM
CFG	rwa	Centrifuge 现实资产融资
CFX	l1,pow	Conflux 公链,含PoW
CGPT	ai	ChainGPT AI工具
CHILLGUY	meme,sol-eco	Solana上的meme
CHIP	stable-yield,ai,rwa	USD.AI 稳定币，抵押 GPU 硬件
CHR	l1,gamefi	Chromia关系型公链
CHZ	fan-token	Chiliz 粉丝代币平台
CKB	l1,pow	Nervos PoW公链
CLANKER	ai	Base上AI发币代理
CLO	NONE	Yei Finance小型借贷,不算蓝筹
COAI	ai	ChainOpera去中心化AI平台
COLLECT	rwa,nft-social	实体卡牌收藏品上链
COMP	defi-blue	Compound 老牌借贷
COOKIE	ai	Cookie DAO，AI代理数据索引
COTI	payment,privacy	支付结算链，V2 转隐私
COW	defi-blue	CoW Protocol现货DEX
CROSS	gamefi,l1	游戏专用 EVM 公链
CRV	defi-blue	Curve 老牌稳定币 DEX
CTK	l1	Shentu安全公链
CTR	btc-eco,l2,zk	Citrea比特币ZK Rollup
CTSI	l2	Cartesi应用链扩容
CVC	NONE	Civic 身份认证，无对应板块
CVX	defi-blue	Convex 依附Curve的DeFi
CYBER	nft-social,l2	CyberConnect社交协议与L2
CYS	zk,depin	Cysic 零知识证明硬件算力
DASH	payment,pow,privacy	达世支付币，PoW，可匿名发送
DATAIP	l1,storage-data	Story改名的数据与IP公链
DEEP	defi-blue	DeepBook，Sui原生订单簿
DEXE	NONE	DAO资管/社交交易,无对应板块
DIA	oracle-bridge	DIA预言机
DODOX	defi-blue	DODO 老牌现货DEX
DOGE	meme,pow	狗狗币，合并挖矿 PoW
DOGS	meme	TON上的狗狗meme
DOLO	defi-blue	Dolomite借贷协议
DOOD	nft-social	Doodles NFT代币
DOS	NONE	dappOS 意图执行网络，归属不明
DOT	l1	Polkadot 主网币
DRIFT	sol-eco,perp-dex	Solana 上永续 DEX
DUSK	privacy,rwa,l1	隐私合规证券化公链
DYDX	perp-dex	dYdX 链上永续交易所
DYM	l1	Dymension 结算层公链
EDEN	rwa,stable-yield	OpenEden 代币化美债
EDGE	perp-dex	edgeX 链上永续交易所
EDU	NONE	教育方向，无对应板块
EGLD	l1	MultiversX 独立公链
EIGEN	eth-eco	EigenLayer 以太坊再质押
ELSA	ai	HeyElsa AI智能体
ENA	stable-yield	Ethena 合成美元 USDe
ENJ	gamefi,nft-social	Enjin 游戏NFT生态
ENS	eth-eco	以太坊域名服务
ENSO	NONE	DeFi意图执行中间件,无对应板块
EPIC	rwa,nft-social	Epic Chain(原Ethernity)娱乐RWA
ERA	l2	Caldera 二层即服务
ESP	l2	Espresso 共享排序器
ESPORTS	gamefi	Yooldo Games 链游
ETC	pow,l1	以太经典 PoW 公链
ETH	eth-eco	规则指定：以太坊本体
ETHFI	eth-eco	ether.fi 以太坊流动性再质押
ETHW	pow,l1	以太坊PoW分叉链
EUL	defi-blue	Euler 借贷协议
EVAA	NONE	TON小型借贷,不算蓝筹
F	perp-dex	SynFutures链上永续
FARTCOIN	meme,sol-eco	Solana meme
FET	ai	FET 人工智能超级智能联盟
FF	stable-yield	Falcon 合成美元 USDf
FHE	privacy	Mind Network全同态加密
FIDA	sol-eco	Bonfida，Solana域名生态
FIGHT	NONE	项目无法查证
FIL	storage-data,depin	Filecoin 去中心化存储
FLOCK	ai	FLock.io 联邦学习 AI
FLOW	l1,nft-social	Flow 公链,NFT起家
FLUID	defi-blue	Fluid借贷与DEX
FLUX	depin,pow	Flux去中心化算力PoW链
FOGO	l1	Fogo SVM高性能公链
FOLKS	NONE	Algorand小型借贷,不算蓝筹
FORM	gamefi	Four(原BinaryX)链游+发射台
FRAX	stable-yield,defi-blue	Frax稳定币协议
G	l1	Gravity（Galxe）自有公链
GALA	gamefi	Gala 链游平台
GAS	l1	NEO公链的燃料代币
GENIUS	NONE	链上交易终端，归属不明
GIGGLE	meme	BNB 链 meme
GLM	depin	Golem去中心化算力市场
GMT	gamefi	STEPN 跑步赚钱游戏
GMX	perp-dex,defi-blue	Arbitrum老牌永续DEX
GOAT	meme,ai,sol-eco	Solana AI Meme龙头
GPS	NONE	GoPlus安全层,无对应板块
GRAM	l1,payment	TON 改名，Telegram 支付链
GRASS	depin,ai,sol-eco	带宽共享供AI取数,跑在Solana
GRIFFAIN	ai,sol-eco	Solana上的AI智能体平台
GRT	storage-data	The Graph 数据索引
GRVT	perp-dex	GRVT 链上衍生品交易所
GTC	NONE	公共物品资助，无对应板块
GUA	ai	SuperFortune AI预测引擎
GUN	gamefi,l1	GUNZ，Gunzilla游戏链
GWEI	eth-eco	ETHGas 以太坊Gas/预确认市场
H	NONE	Humanity人格证明,无对应板块
HAEDAL	NONE	Sui流动性质押，无对应板块
HANA	nft-social	Hana 社交金融平台
HBAR	l1	Hedera 独立公网
HEI	NONE	Heima（原 Litentry）难归类
HEMI	btc-eco,l2	Hemi 比特币二层
HIVE	nft-social,l1	Hive 社交内容公链
HMSTR	gamefi	Telegram点击类链游
HOLO	ai,sol-eco	Holoworld AI,Solana
HOME	NONE	DeFi超级App,定位跨多板块
HOT	depin	Holo分布式主机网络
HUMA	payment,rwa	PayFi 支付融资
HYPE	perp-dex,l1	Hyperliquid 永续 DEX
HYPER	oracle-bridge	Hyperlane跨链消息协议
ICNT	depin,storage-data	Impossible Cloud云网络
ICP	l1	互联网计算机公链
ID	NONE	SPACE ID域名身份,无对应板块
IDOL	ai,metaverse	MEET48 AI虚拟偶像
ILV	gamefi,metaverse	Illuvium 链游
IMX	gamefi,l2,nft-social	Immutable 游戏NFT二层
IN	ai	INFINIT，AI驱动DeFi代理
INIT	l1	Initia 独立公链
INJ	l1,perp-dex	Injective 衍生品公链
INX	NONE	Infinex自托管入口，无板块
IO	depin,ai	io.net GPU 算力网络
IOST	l1	IOST 独立公链
IOTA	l1	IOTA 独立公链
IOTX	depin,l1	IoTeX DePIN公链
IRYS	storage-data	Irys可编程数据链
JASMY	depin,storage-data	IoT设备数据网络
JCT	depin,ai	Janction GPU算力网络
JELLYJELLY	meme,sol-eco	Solana上的meme
JOE	defi-blue	Trader Joe DEX
JST	defi-blue	JUST，波场借贷与 CDP
JTO	sol-eco	Jito，Solana 质押 MEV
JUP	sol-eco,defi-blue	Jupiter，Solana 交易聚合器
KAIA	l1	Kaia 公链(Klaytn合并)
KAITO	ai	Kaito AI 信息聚合
KAS	pow,l1	Kaspa PoW公链
KAT	l2	Katana DeFi向以太坊二层
KAVA	l1	Kava Cosmos系公链
KERNEL	eth-eco	KernelDAO再质押
KGEN	gamefi	KGeN 玩家网络
KITE	ai,payment,l1	Kite 智能体支付公链
KMNO	sol-eco,defi-blue	Kamino，Solana 主力借贷
KNC	defi-blue	Kyber 老牌DEX
KOMA	meme	Koma Inu meme币
KSM	l1	Kusama 独立主网
LA	zk,ai	Lagrange 零知识协处理器
LAB	NONE	BNB 链交易生态，归属不明
LAYER	sol-eco	Solayer，Solana再质押
LDO	eth-eco	Lido 以太坊流动性质押
LIGHT	btc-eco	Bitlight，比特币RGB与闪电
LINEA	l2,zk	Linea 零知识二层
LINK	oracle-bridge	Chainlink 喂价预言机
LISTA	stable-yield,defi-blue	BNB链CDP稳定币协议
LIT	perp-dex	Lighter 链上永续交易所
LPT	depin,ai	Livepeer 视频转码算力网络
LQTY	defi-blue,stable-yield	Liquity CDP稳定币
LSK	l2	Lisk 已迁为 OP Stack 二层
LTC	payment,pow	莱特币支付，PoW
LUMIA	rwa,l2	RWA方向的以太坊二层
LUNA2	l1	Terra 2.0 公链
LYN	ai	Everlyn AI视频生成
M	meme,l1	MemeCore meme专用公链
MAGIC	gamefi	Treasure链游生态代币
MAGMA	NONE	Sui 上新 AMM，不够蓝筹
MANA	metaverse	Decentraland 虚拟世界
MANTA	l2,zk	Manta模块化ZK二层
MANTRA	rwa,l1	MANTRA RWA专用链
MARSCOIN	meme	BNB 链 meme 币
MASK	nft-social	Mask Network社交协议
MAV	defi-blue	Maverick AMM DEX
MAVIA	gamefi	Heroes of Mavia手游
ME	nft-social,sol-eco	Magic Eden NFT市场
MEGA	l2	MegaETH 高性能以太坊二层
MELANIA	meme,sol-eco	Solana上的名人meme
MEME	meme,nft-social	Memeland 社区meme
MERL	btc-eco,l2	Merlin 比特币二层
MET	sol-eco	Meteora，Solana 流动性协议
METIS	l2	Metis 以太坊二层
MEW	meme,sol-eco	Solana猫咪Meme
MINA	l1,zk	Mina 零知识轻量公链
MIRA	ai	Mira AI输出验证网络
MITO	l1	Mitosis跨链流动性公链
MMT	NONE	Momentum，Sui 上新 DEX
MOCA	metaverse,nft-social	Animoca系身份与元宇宙
MON	l1	Monad 高性能公链
MOODENG	meme,sol-eco	Solana 动物 meme
MORPHO	defi-blue	Morpho 借贷协议
MOVE	l2	Movement 以太坊Move二层
MOVR	l1	Moonriver 智能合约平行链
MTL	payment	Metal Pay 加密支付
MUBARAK	meme	BNB 链 meme
MYX	perp-dex	MYX 链上永续
NAORIS	depin	去中心化网络安全设备网
NEAR	l1	NEAR 独立公链主网币
NEIRO	meme	狗狗类 meme
NEO	l1	NEO 独立公链
NEWT	ai	Newton可验证AI代理自动化
NIGHT	privacy,l1	Midnight 隐私侧链
NIL	privacy,ai	Nillion 盲计算隐私网络
NMR	ai	Numerai AI量化竞赛
NOM	perp-dex	Nomina 跨DEX衍生品交易
NOT	meme,gamefi	Notcoin TON点击游戏meme
NXPC	gamefi	冒险岛链游宇宙
O	NONE	无法确认项目
OG	fan-token	OG电竞粉丝代币
OGN	stable-yield	Origin的OUSD与OETH生息
ON	zk	Orochi 可验证数据基础设施
ONDO	rwa	代币化美债等现实资产
ONE	l1	Harmony 分片公链主网币
ONG	l1	本体公链燃料代币
ONT	l1	Ontology 独立公链
OP	l2	Optimism 以太坊二层
OPEN	ai	OpenLedger，AI数据与模型链
OPG	ai	OpenGradient去中心化AI推理
OPN	NONE	Opinion预测市场,无对应板块
ORCA	sol-eco,defi-blue	Solana原生现货DEX
ORDER	perp-dex	Orderly全链订单簿衍生品
ORDI	btc-eco,meme	比特币铭文龙头
PARTI	NONE	Particle链抽象基建,无对应板块
PAXG	rwa	实物黄金代币
PENDLE	stable-yield	收益代币化交易协议
PENGU	nft-social,meme,sol-eco	Pudgy Penguins NFT 币
PEOPLE	meme	ConstitutionDAO meme
PHA	depin,ai	Phala 去中心化机密算力
PHAROS	l1,rwa	RWA方向高性能L1
PIEVERSE	payment,ai	智能体银行与 Web3 支付
PIPPIN	meme,sol-eco	Solana上的meme
PIXEL	gamefi	Ronin上的农场链游
PLAY	gamefi	PlaysOut 小游戏平台
PLUME	rwa,l1	Plume RWA专用链
PNUT	meme,sol-eco	Solana 松鼠 meme
POL	l2	Polygon 以太坊扩容
POLYX	rwa,l1	Polymesh 证券型代币链
PONS	NONE	Robinhood 链发射台，难归类
POPCAT	meme,sol-eco	Solana上的meme
PORTAL	gamefi	Portal 游戏平台代币
POWER	gamefi	Power Protocol 游戏工作室
POWR	depin	Power Ledger 能源网络
PRL	ai,sol-eco	Perle，Solana上AI训练数据
PROM	l2,zk	Prom 模块化 zkEVM 二层
PROMPT	ai	Wayfinder AI代理导航
PROVE	zk	Succinct 零知识证明网络
PTB	btc-eco,oracle-bridge	Portal to Bitcoin跨链
PUMP	sol-eco,meme	Solana 发币平台 pump.fun
PUMPBTC	btc-eco	比特币流动性质押
PUNDIX	payment	Pundi X 线下支付终端
PYTH	oracle-bridge	Pyth 喂价预言机
Q	ai	Quack AI 智能体治理层
QNT	oracle-bridge	Quant 跨链互操作
QTUM	l1	Qtum 独立公链
RARE	nft-social	SuperRare艺术NFT市场
RAVE	NONE	RaveDAO 线下活动票务，无对应板块
RAYSOL	sol-eco,defi-blue	Raydium，Solana 老DEX
RE	rwa	Re 链上再保险资本
RECALL	ai	Recall，AI代理技能市场
RED	oracle-bridge	RedStone 预言机
RENDER	ai,depin	渲染算力网络
RESOLV	stable-yield	USR 中性策略稳定币
REZ	eth-eco	Renzo 以太坊再质押
RIF	btc-eco	Rootstock比特币侧链基建
RIVER	stable-yield	River 全链稳定币 satUSD
RLC	depin,ai	iExec去中心化算力
ROBO	ai,depin	Fabric 机器人经济网络
RONIN	gamefi,l1	Ronin 游戏公链
ROSE	privacy,l1	Oasis 隐私公链
RPL	eth-eco	Rocket Pool以太坊质押
RSR	stable-yield	Reserve 稳定币协议
RUNE	defi-blue,oracle-bridge	THORChain 跨链兑换
RVN	pow,l1	Ravencoin PoW公链
S	l1	Sonic(原Fantom)公链
SAFE	eth-eco	Safe智能账户，以太坊原生
SAGA	l1,gamefi	Saga 游戏专用链平台
SAHARA	ai	Sahara AI 数据与模型平台
SAND	metaverse,gamefi	The Sandbox 虚拟世界
SANTOS	fan-token	桑托斯俱乐部粉丝代币
SAPIEN	ai	Sapien AI数据标注网络
SCR	l2,zk	Scroll 零知识二层
SEI	l1	Sei 独立公链
SENT	ai	Sentient 开源AGI项目
SFP	NONE	SafePal钱包，无对应板块
SHELL	ai	MyShell AI代理平台
SIGN	NONE	Sign认证协议,无对应板块
SIREN	meme	BNB 链 four.meme meme
SKL	l2	SKALE 以太坊扩容网络
SKR	sol-eco,depin	Solana Seeker 手机生态
SKY	defi-blue,stable-yield	原 MakerDAO，CDP 稳定币
SKYAI	ai	SkyAI，BNB 链 AI 生态
SLP	gamefi	Axie链游代币
SLX	stable-yield,sol-eco	Solstice 机构级收益,Solana
SNX	defi-blue,perp-dex	Synthetix 老牌衍生品协议
SOL	sol-eco,l1	规则指定：Solana 本体
SOLV	btc-eco	Solv 比特币收益质押
SOMI	l1,gamefi	Somnia 面向游戏的公链
SONIC	gamefi,sol-eco,l2	Sonic SVM游戏链扩展
SOON	l2	SVM架构的以太坊Rollup
SOPH	l2,zk	Sophon，ZK 栈二层
SPACE	depin	Spacecoin去中心化卫星网
SPELL	defi-blue,stable-yield	Abracadabra MIM借贷
SPK	stable-yield,defi-blue	Spark 稳定币储蓄与借贷
SPORTFUN	NONE	选手份额交易，无对应板块
SPX	meme	SPX6900 meme
SQD	storage-data	SQD去中心化数据索引
SSV	eth-eco	以太坊分布式验证者
STABLE	l1,payment,stable-yield	USDT 原生稳定币公链
STAR	depin	StarPower 分布式能源DePIN
STBL	stable-yield,rwa	USST稳定币,RWA支撑
STEEM	nft-social,l1	Steem 社交内容公链
STG	oracle-bridge	Stargate跨链桥
STO	eth-eco	StakeStone流动性质押
STRK	l2,zk	Starknet 零知识二层
STX	btc-eco,l2	Stacks 比特币二层
SUI	l1	Sui 独立公链
SUN	defi-blue	波场主力DEX
SUPER	gamefi,nft-social	SuperVerse游戏NFT生态
SUSHI	defi-blue	SushiSwap 老牌 DEX
SWARMS	ai,sol-eco	Solana上AI代理框架
SXT	storage-data,zk	Space and Time可验证数据库
SYN	oracle-bridge	Synapse 跨链桥
SYRUP	stable-yield,rwa	Maple 机构信贷与稳定币收益
T	btc-eco,privacy	Threshold 的 tBTC 与加密
TA	ai	Trusta.AI链上身份信誉
TAC	l1	TAC 面向TON的EVM公链
TAG	ai	Tagger，AI数据标注网络
TAIKO	l2,zk	Taiko以太坊ZK Rollup
TAKE	gamefi	OVERTAKE游戏资产市场
TAO	ai,l1	Bittensor 去中心化 AI 网络
THE	defi-blue	Thena BNB链现货DEX
THETA	depin,ai	去中心化视频分发与算力
TIA	storage-data,l1	Celestia 数据可用层
TLM	gamefi,metaverse	Alien Worlds 链游
TNSR	nft-social,sol-eco	Tensor，Solana NFT市场
TOSHI	meme	Base链猫咪Meme
TOWNS	nft-social	Towns 去中心化社交协议
TRADOOR	perp-dex	TON上的永续与期权DEX
TRB	oracle-bridge	Tellor 预言机
TREE	stable-yield	Treehouse 链上固收生息
TRIA	payment	Tria 自托管新型银行与支付
TRUMP	meme,sol-eco	Solana 上特朗普 meme
TRUST	storage-data	Intuition去中心化知识图谱
TRUTH	storage-data	Swarm Network可验证数据
TRX	l1	波场公链主网币
TST	meme	BNB链教程衍生meme
TURBO	meme	AI生成的以太坊meme
TURTLE	NONE	流动性分发协议，无板块
TUT	meme	BNB 链教程 meme
TWT	NONE	钱包代币,无对应板块
UAI	ai	UnifAI 自治 AI 代理网络
UB	ai,storage-data	Unibase AI记忆与数据层
UMA	oracle-bridge	UMA乐观预言机
UNI	defi-blue	Uniswap 老牌现货DEX
US	ai	Talus，链上AI代理基建
USDC	stable-yield	美元稳定币
USELESS	meme,sol-eco	Solana 上 Useless 币
USTC	stable-yield	Terra崩盘的算法稳定币
USUAL	stable-yield,rwa	USD0国债支持稳定币
VANA	ai,storage-data	Vana 用户数据供AI训练
VELODROME	defi-blue	Optimism主力现货DEX
VELVET	ai	Velvet DeFAI 交易终端
VET	l1	唯链公链主网币
VIRTUAL	ai	AI 代理发行平台
VTHO	l1	唯链能源代币
VVV	ai	Venice 去中心化 AI 推理
W	oracle-bridge	Wormhole 跨链消息
WAL	storage-data	Walrus 去中心化存储
WAXP	gamefi,nft-social,l1	WAX游戏NFT公链
WCT	NONE	WalletConnect协议，无板块
WET	sol-eco	HumidiFi，Solana头部DEX
WIF	meme,sol-eco	Solana 狗帽 meme
WLD	ai	Worldcoin，AI 时代身份叙事
WLFI	stable-yield	WLF 发行 USD1 稳定币
WOO	defi-blue	WOOFi现货DEX
XAI	gamefi,l2	Xai游戏专用Arbitrum链
XAN	NONE	Anoma意图架构,定位难判
XAUT	rwa	泰达实物黄金代币
XLM	payment,l1	Stellar 跨境支付网络
XMR	privacy,pow	门罗隐私币，PoW
XNY	ai,storage-data	Codatta，AI数据协议
XPIN	depin	全球eSIM去中心化无线网
XPL	l1,payment	Plasma 稳定币支付公链
XRP	payment,l1	瑞波跨境支付，自有账本
XTZ	l1	Tezos 独立公链
XVG	privacy,pow	Verge 隐私币,PoW
XVS	defi-blue	Venus，BNB链借贷
YB	defi-blue	Yield Basis，Curve系做市
YFI	defi-blue	Yearn 老牌收益聚合
YGG	gamefi	链游公会代币
ZAMA	privacy	Zama 全同态加密
ZBT	zk	ZEROBASE 零知识证明网络
ZEC	privacy,pow	Zcash 隐私币，PoW 挖矿
ZEN	privacy,pow	Horizen 隐私链，PoW
ZEREBRO	ai,meme,sol-eco	Solana AI代理Meme
ZEST	btc-eco	Zest 比特币借贷
ZETA	l1,oracle-bridge	ZetaChain全链公链
ZIL	l1	Zilliqa 独立公链主网
ZK	l2,zk	zkSync 零知识二层
ZKC	zk	Boundless 零知识证明市场
ZKP	zk,privacy	zkPass零知识数据验证
ZORA	nft-social,l2	Zora NFT 创作者网络
ZRO	oracle-bridge	LayerZero 全链消息
ZRX	defi-blue	0x老牌DEX协议
哈基米	meme-cn	华语猫meme
币安人生	meme-cn	华语meme
我踏马来了	meme-cn	华语meme
牛来	meme-cn	华语社区 meme
龙虾	meme-cn	华语社区 meme
